state,model,spin,dump_index,pos,ipole_munit_used,ipole_flux_jy,grmonty_munit_best,grmonty_flux_jy,grmonty_abs_error_jy,munit_ratio_grmonty_over_ipole,ipole_viewing,grmonty_viewing,grmonty_spec_exists,grmonty_spec_path,grmonty_par_path,grmonty_log_path
MAD,CRITBETA,-0.5,4000,0,2.97086446e+25,0.4997064111,1.84274768e+25,0.508579115,0.008579115,0.620273225,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_4000_CRITBETA_pos0_trial02.h5,/work/vmo703/igrmonty/logs/MAD_CRITBETA_a-0.5_t4000_pos0_trial02.par,/work/vmo703/igrmonty/logs/MAD_CRITBETA_a-0.5_t4000_pos0_trial02.log
MAD,CRITBETA,-0.5,4000,1,1.637760862e+25,0.4999999549,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETA,-0.5,5000,0,4.074868018e+25,0.4999629346,2.0986032e+25,0.512294075,0.012294075,0.5150113307,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_5000_CRITBETA_pos0_trial02.h5,/work/vmo703/igrmonty/logs/MAD_CRITBETA_a-0.5_t5000_pos0_trial02.par,/work/vmo703/igrmonty/logs/MAD_CRITBETA_a-0.5_t5000_pos0_trial02.log
MAD,CRITBETA,-0.5,5000,1,2.254648182e+25,0.5000132891,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETA,-0.5,6000,0,5.530709128e+25,0.4993607133,3.00847304e+25,0.502769969,0.002769969,0.5439579212,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_6000_CRITBETA_pos0_trial06.h5,/work/vmo703/igrmonty/logs/MAD_CRITBETA_a-0.5_t6000_pos0_trial06.par,/work/vmo703/igrmonty/logs/MAD_CRITBETA_a-0.5_t6000_pos0_trial06.log
MAD,CRITBETA,-0.5,6000,1,3.034558235e+25,0.4999874587,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETA,0.94,4000,0,1.142303314e+25,0.4994078156,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETA,0.94,4000,1,6.294612518e+24,0.4999905793,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETA,0.94,5000,0,1.613881276e+25,0.499991157,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETA,0.94,5000,1,8.816910475e+24,0.4999999593,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETA,0.94,6000,0,2.465535959e+25,0.4995825613,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETA,0.94,6000,1,1.351274554e+25,0.5000055468,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETAWJET,-0.5,4000,0,2.864495166e+25,0.4933667384,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETAWJET,-0.5,4000,1,1.548855018e+25,0.4999080044,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETAWJET,-0.5,5000,0,3.989208997e+25,0.4996550502,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETAWJET,-0.5,5000,1,2.159143679e+25,0.499735862,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETAWJET,-0.5,6000,0,5.393325615e+25,0.4947274881,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETAWJET,-0.5,6000,1,2.909327192e+25,0.4999760927,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETAWJET,0.94,4000,0,1.121831041e+25,0.4987161482,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETAWJET,0.94,4000,1,6.073701672e+24,0.4994384425,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETAWJET,0.94,5000,0,1.57788845e+25,0.4989404729,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETAWJET,0.94,5000,1,8.427053286e+24,0.4998163376,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETAWJET,0.94,6000,0,2.376270541e+25,0.496683594,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,CRITBETAWJET,0.94,6000,1,1.277445539e+25,0.4998460053,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETA,-0.5,4000,0,3.464815213e+25,0.4999034401,4.49893323e+25,0.505196193,0.005196193,1.298462675,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_4000_RBETA_pos0_trial03.h5,/work/vmo703/igrmonty/logs/MAD_RBETA_a-0.5_t4000_pos0_trial03.par,/work/vmo703/igrmonty/logs/MAD_RBETA_a-0.5_t4000_pos0_trial03.log
MAD,RBETA,-0.5,4000,1,1.904160996e+25,0.5000084372,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETA,-0.5,5000,0,4.796482341e+25,0.4993251876,5.39327435e+25,0.479314452,0.020685548,1.124422851,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_5000_RBETA_pos0_trial02.h5,/work/vmo703/igrmonty/logs/MAD_RBETA_a-0.5_t5000_pos0_trial02.par,/work/vmo703/igrmonty/logs/MAD_RBETA_a-0.5_t5000_pos0_trial02.log
MAD,RBETA,-0.5,5000,1,2.646579634e+25,0.4999951285,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETA,-0.5,6000,0,5.920146592e+25,0.4523071086,7.15282832e+25,0.488827872,0.011172128,1.208218109,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Ma-0.5_6000_RBETA_pos0_trial04.h5,/work/vmo703/igrmonty/logs/MAD_RBETA_a-0.5_t6000_pos0_trial04.par,/work/vmo703/igrmonty/logs/MAD_RBETA_a-0.5_t6000_pos0_trial04.log
MAD,RBETA,-0.5,6000,1,3.423372259e+25,0.5000053416,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETA,0.94,4000,0,1.326125067e+25,0.499926879,1.03857558e+25,0.500427425,0.000427425,0.7831656346,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Ma+0.94_4000_RBETA_pos0_trial02.h5,/work/vmo703/igrmonty/logs/MAD_RBETA_a+0.94_t4000_pos0_trial02.par,/work/vmo703/igrmonty/logs/MAD_RBETA_a+0.94_t4000_pos0_trial02.log
MAD,RBETA,0.94,4000,1,7.320542369e+24,0.5000010479,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETA,0.94,5000,0,1.923102314e+25,0.5191244587,1.42658364e+25,0.502390949,0.002390949,0.7418136983,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Ma+0.94_5000_RBETA_pos0_trial02.h5,/work/vmo703/igrmonty/logs/MAD_RBETA_a+0.94_t5000_pos0_trial02.par,/work/vmo703/igrmonty/logs/MAD_RBETA_a+0.94_t5000_pos0_trial02.log
MAD,RBETA,0.94,5000,1,1.026228619e+25,0.4999903505,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETA,0.94,6000,0,3.047007281e+25,0.5258816384,1.90132716e+25,0.499997848,2.152e-06,0.6239982332,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Ma+0.94_6000_RBETA_pos0_trial03.h5,/work/vmo703/igrmonty/logs/MAD_RBETA_a+0.94_t6000_pos0_trial03.par,/work/vmo703/igrmonty/logs/MAD_RBETA_a+0.94_t6000_pos0_trial03.log
MAD,RBETA,0.94,6000,1,1.621562058e+25,0.4999948124,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETAWJET,-0.5,4000,0,3.335559724e+25,0.4971550266,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETAWJET,-0.5,4000,1,1.777742051e+25,0.4998313202,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETAWJET,-0.5,5000,0,4.661988231e+25,0.4969573577,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETAWJET,-0.5,5000,1,2.503986243e+25,0.4989115943,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETAWJET,-0.5,6000,0,6.07444023e+25,0.4930135904,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETAWJET,-0.5,6000,1,3.256063688e+25,0.4999404953,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETAWJET,0.94,4000,0,1.294688412e+25,0.4965118398,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETAWJET,0.94,4000,1,7.007979027e+24,0.499146336,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETAWJET,0.94,5000,0,1.825010403e+25,0.4941713222,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
MAD,RBETAWJET,0.94,5000,1,9.718486326e+24,0.4998901158,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
