row_id,dump_index,timestep,state,model,spin,Rhigh,f,beta_crit,Munit,MunitOffset,MunitSlope,MunitUsed_pos0,MunitUsed_pos1,converged,notes
0,4000,20000,SANE,RBETAwJET,-0.5,160,,,1.83e+27,8.212985934208588e+28,88.37439759644391,2.4385500694357823e+29,1.3603824187591666e+29,True,requested: Rbeta/wjet SANE Rlow=1 Rhigh=160; source=paper_output_dedupe row_id=129
1,5000,25000,SANE,RBETAwJET,-0.5,160,,,1.83e+27,4.259360646280212e+28,47.33133418419413,1.2920994801987738e+29,7.146572031516054e+28,True,requested: Rbeta/wjet SANE Rlow=1 Rhigh=160; source=paper_output_dedupe row_id=130
2,6000,30000,SANE,RBETAwJET,-0.5,160,,,1.83e+27,6.195554061323047e+28,78.380050985486,2.0539103391666986e+29,1.0976737171437692e+29,True,requested: Rbeta/wjet SANE Rlow=1 Rhigh=160; source=paper_output_dedupe row_id=131
3,4000,20000,SANE,RBETAwJET,0.94,160,,,1.83e+27,2.229399147745709e+27,2.729971138449986,7.225246331109184e+27,3.8946815422002e+27,True,requested: Rbeta/wjet SANE Rlow=1 Rhigh=160; source=paper_output_dedupe row_id=141
4,5000,25000,SANE,RBETAwJET,0.94,160,,,1.83e+27,1.6939770300184364e+27,2.074329491793204,5.49e+27,2.959318020012291e+27,True,requested: Rbeta/wjet SANE Rlow=1 Rhigh=160; source=paper_output_dedupe row_id=142
5,6000,30000,SANE,RBETAwJET,0.94,160,,,1.83e+27,1.7714714329206765e+27,2.473590894860245,6.298142770514925e+27,3.280361878785426e+27,True,requested: Rbeta/wjet SANE Rlow=1 Rhigh=160; source=paper_output_dedupe row_id=143
6,4000,20000,MAD,RBETA,-0.5,20,,,7.49e+24,1.3e+25,2.8,3.3972e+25,1.999066666666666e+25,True,requested: Rbeta MAD Rlow=1 Rhigh=20; source=paper_output_dedupe row_id=72
7,5000,25000,MAD,RBETA,-0.5,20,,,7.49e+24,1.3e+25,5.0,5.0450000000000005e+25,2.5483333333333333e+25,True,requested: Rbeta MAD Rlow=1 Rhigh=20; source=paper_output_dedupe row_id=73
8,6000,30000,MAD,RBETA,-0.5,20,,,7.49e+24,2.4e+25,4.7,5.9203e+25,3.573433333333333e+25,True,requested: Rbeta MAD Rlow=1 Rhigh=20; source=paper_output_dedupe row_id=74
9,4000,20000,MAD,RBETA,0.94,20,,,7.49e+24,4.4999999999999997e+24,1.2,1.3488e+25,7.496e+24,True,requested: Rbeta MAD Rlow=1 Rhigh=20; source=paper_output_dedupe row_id=84
10,5000,25000,MAD,RBETA,0.94,20,,,7.49e+24,4.999999999999999e+24,1.9,1.9231e+25,9.74366666666667e+24,True,requested: Rbeta MAD Rlow=1 Rhigh=20; source=paper_output_dedupe row_id=85
11,6000,30000,MAD,RBETA,0.94,20,,,7.49e+24,8e+24,3.0,3.047e+25,1.5489999999999998e+25,True,requested: Rbeta MAD Rlow=1 Rhigh=20; source=paper_output_dedupe row_id=86
12,4000,20000,SANE,CRITBETAwJET,-0.5,20,0.5,1,1.83e+27,1.7e+28,21.0,5.543e+28,2.981e+28,True,requested: Crit-beta/wjet SANE f=0.5 beta_crit=1; Rhigh is a positive placeholder ignored by CRITBETA modes; source=paper_output_dedupe row_id=96
13,5000,25000,SANE,CRITBETAwJET,-0.5,20,0.5,1,1.83e+27,7.5e+27,20.0,4.41e+28,1.9700000000000002e+28,True,requested: Crit-beta/wjet SANE f=0.5 beta_crit=1; Rhigh is a positive placeholder ignored by CRITBETA modes; source=paper_output_dedupe row_id=97
14,6000,30000,SANE,CRITBETAwJET,-0.5,20,0.5,1,1.83e+27,1.5e+28,20.0,5.160000000000001e+28,2.72e+28,True,requested: Crit-beta/wjet SANE f=0.5 beta_crit=1; Rhigh is a positive placeholder ignored by CRITBETA modes; source=paper_output_dedupe row_id=98
15,4000,20000,SANE,CRITBETAwJET,0.94,20,0.5,1,1.83e+27,1.5000000000000002e+27,1.1,3.513e+27,2.171e+27,True,requested: Crit-beta/wjet SANE f=0.5 beta_crit=1; Rhigh is a positive placeholder ignored by CRITBETA modes; source=paper_output_dedupe row_id=108
16,5000,25000,SANE,CRITBETAwJET,0.94,20,0.5,1,1.83e+27,1.2000000000000001e+27,0.8,2.664e+27,1.688e+27,True,requested: Crit-beta/wjet SANE f=0.5 beta_crit=1; Rhigh is a positive placeholder ignored by CRITBETA modes; source=paper_output_dedupe row_id=109
17,6000,30000,SANE,CRITBETAwJET,0.94,20,0.5,1,1.83e+27,1.2000000000000001e+27,1.2,3.3959999999999997e+27,1.932e+27,True,requested: Crit-beta/wjet SANE f=0.5 beta_crit=1; Rhigh is a positive placeholder ignored by CRITBETA modes; source=paper_output_dedupe row_id=110
18,4000,20000,MAD,CRITBETA,-0.5,20,0.5,0.01,7.49e+24,7.441989678418029e+24,3.85775093918822,3.6336544212937798e+25,1.7073507856591283e+25,True,requested: Crit-beta MAD f=0.5 beta_crit=0.01; Rhigh is a positive placeholder ignored by CRITBETA modes; source=paper_output_critbeta row_id=19
19,5000,25000,MAD,CRITBETA,-0.5,20,0.5,0.01,7.49e+24,1.0490337372085662e+25,5.437942082468383,5.122052356977385e+25,2.4067066104648388e+25,True,requested: Crit-beta MAD f=0.5 beta_crit=0.01; Rhigh is a positive placeholder ignored by CRITBETA modes; source=paper_output_critbeta row_id=49
20,6000,30000,MAD,CRITBETA,-0.5,20,0.5,0.01,7.49e+24,1.4881947408472306e+25,7.1689171004683425,6.857713649098019e+25,3.278034376930826e+25,True,requested: Crit-beta MAD f=0.5 beta_crit=0.01; Rhigh is a positive placeholder ignored by CRITBETA modes; source=paper_output_critbeta row_id=81
21,4000,20000,MAD,CRITBETA,0.94,20,0.5,0.01,7.49e+24,3.414465112635015e+24,1.531143504948278,1.4882729964697617e+25,7.237220063322547e+24,True,requested: Crit-beta MAD f=0.5 beta_crit=0.01; Rhigh is a positive placeholder ignored by CRITBETA modes; source=paper_output_critbeta row_id=21
22,5000,25000,MAD,CRITBETA,0.94,20,0.5,0.01,7.49e+24,4.992704461357304e+24,1.9484739234940716,1.95867741483279e+25,9.857394357014168e+24,True,requested: Crit-beta MAD f=0.5 beta_crit=0.01; Rhigh is a positive placeholder ignored by CRITBETA modes; source=paper_output_critbeta row_id=55
23,6000,30000,MAD,CRITBETA,0.94,20,0.5,0.01,7.49e+24,6.948146788933091e+24,3.6017544983107412,3.392528798128054e+25,1.5940527186382238e+25,True,requested: Crit-beta MAD f=0.5 beta_crit=0.01; Rhigh is a positive placeholder ignored by CRITBETA modes; source=paper_output_critbeta row_id=85
