dump_index,timestep,MAD/SANE,model,spin,pos,MunitOffset,MunitSlope,Munit,MunitUsed,notes
4000,20000,SANE,RBETA,-0.5,0,5e+28,28.0,1.83e+27,1.0124000000000001e+29,
4000,20000,SANE,RBETA,-0.5,1,5e+28,28.0,1.83e+27,6.708e+28,
4000,20000,SANE,RBETAwJET,-0.5,0,1.9e+28,30.0,1.83e+27,7.3899999999999995e+28,
4000,20000,SANE,RBETAwJET,-0.5,1,1.9e+28,30.0,1.83e+27,3.73e+28,
4000,20000,SANE,CRITBETA,-0.5,0,2.9e+28,22.0,1.83e+27,6.926000000000001e+28,
4000,20000,SANE,CRITBETA,-0.5,1,2.9e+28,22.0,1.83e+27,4.242e+28,
4000,20000,SANE,CRITBETAwJET,-0.5,0,1.7e+28,21.0,1.83e+27,5.5429999999999995e+28,
4000,20000,SANE,CRITBETAwJET,-0.5,1,1.7e+28,21.0,1.83e+27,2.981e+28,
4200,21000,SANE,RBETA,-0.5,0,4.65e+28,30.0,1.83e+27,1.0139999999999999e+29,
4200,21000,SANE,RBETA,-0.5,1,4.65e+28,30.0,1.83e+27,6.479999999999999e+28,
4200,21000,SANE,RBETAwJET,-0.5,0,1.9e+28,25.0,1.83e+27,6.475e+28,
4200,21000,SANE,RBETAwJET,-0.5,1,1.9e+28,25.0,1.83e+27,3.425e+28,
4200,21000,SANE,CRITBETA,-0.5,0,2.9e+28,22.0,1.83e+27,6.926000000000001e+28,
4200,21000,SANE,CRITBETA,-0.5,1,2.9e+28,22.0,1.83e+27,4.242e+28,
4200,21000,SANE,CRITBETAwJET,-0.5,0,1.7e+28,19.0,1.83e+27,5.177e+28,
4200,21000,SANE,CRITBETAwJET,-0.5,1,1.7e+28,19.0,1.83e+27,2.8589999999999997e+28,
4400,22000,SANE,RBETA,-0.5,0,3.5e+28,36.0,1.83e+27,1.0087999999999999e+29,
4400,22000,SANE,RBETA,-0.5,1,3.5e+28,36.0,1.83e+27,5.696e+28,
4400,22000,SANE,RBETAwJET,-0.5,0,1.9e+28,22.0,1.83e+27,5.926e+28,
4400,22000,SANE,RBETAwJET,-0.5,1,1.9e+28,22.0,1.83e+27,3.2420000000000003e+28,
4400,22000,SANE,CRITBETA,-0.5,0,2.9e+28,29.0,1.83e+27,8.207e+28,
4400,22000,SANE,CRITBETA,-0.5,1,2.9e+28,29.0,1.83e+27,4.6690000000000005e+28,
4400,22000,SANE,CRITBETAwJET,-0.5,0,1.7e+28,22.0,1.83e+27,5.726e+28,
4400,22000,SANE,CRITBETAwJET,-0.5,1,1.7e+28,22.0,1.83e+27,3.0420000000000003e+28,
4600,23000,SANE,RBETA,-0.5,0,3.5e+28,25.0,1.83e+27,8.075000000000001e+28,
4600,23000,SANE,RBETA,-0.5,1,3.5e+28,25.0,1.83e+27,5.0250000000000004e+28,
4600,23000,SANE,RBETAwJET,-0.5,0,1.6e+28,17.0,1.83e+27,4.711000000000001e+28,
4600,23000,SANE,RBETAwJET,-0.5,1,1.6e+28,17.0,1.83e+27,2.6370000000000003e+28,
4600,23000,SANE,CRITBETA,-0.5,0,2.9e+28,17.0,1.83e+27,6.011e+28,
