dump_index,timestep,MAD/SANE,model,spin,pos,MunitOffset,MunitSlope,Munit,MunitUsed,notes
4200,21000,MAD,RBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,3.667183938449141e+25,Matched 2.38 Jy @ 228 GHz
4200,21000,MAD,RBETA,0.94,0.0,5e+24,3.0,7.5e+24,3.17565045789601e+25,Matched 2.38 Jy @ 228 GHz
4000,20000,MAD,RBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,3.412578842067229e+25,Matched 2.41 Jy @ 228 GHz
4000,20000,MAD,CRITBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,2.8507405532036697e+25,Matched 2.42 Jy @ 228 GHz
4000,20000,MAD,RBETA,0.94,0.0,5e+24,3.0,7.5e+24,3.0634281149857066e+25,Matched 2.35 Jy @ 228 GHz
4200,21000,MAD,CRITBETA,0.94,0.0,5e+24,3.0,7.5e+24,2.7999172347250003e+25,Matched 2.42 Jy @ 228 GHz
4400,22000,MAD,CRITBETA,0.94,0.0,5e+24,3.0,7.5e+24,3.233293981281955e+25,Matched 2.40 Jy @ 228 GHz
4200,21000,MAD,CRITBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,3.1190346096325813e+25,Matched 2.40 Jy @ 228 GHz
4400,22000,MAD,CRITBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,3.6018049768266216e+25,Matched 2.40 Jy @ 228 GHz
4400,22000,MAD,RBETA,0.94,0.0,5e+24,3.0,7.5e+24,3.667183938449141e+25,Matched 2.44 Jy @ 228 GHz
4400,22000,MAD,RBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,4.085147047225132e+25,Matched 2.36 Jy @ 228 GHz
4600,23000,MAD,RBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,3.667183938449141e+25,Matched 2.42 Jy @ 228 GHz
4600,23000,MAD,CRITBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,2.955171527883623e+25,Matched 2.42 Jy @ 228 GHz
4600,23000,MAD,RBETA,0.94,0.0,5e+24,3.0,7.5e+24,3.2919838338632576e+25,Matched 2.44 Jy @ 228 GHz
4600,23000,MAD,CRITBETA,0.94,0.0,5e+24,3.0,7.5e+24,2.700972695267104e+25,Matched 2.40 Jy @ 228 GHz
4800,24000,MAD,CRITBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,4.389930996791842e+25,Matched 2.39 Jy @ 228 GHz
4800,24000,MAD,RBETA,0.94,0.0,5e+24,3.0,7.5e+24,5.069413229125054e+25,Matched 2.43 Jy @ 228 GHz
4800,24000,MAD,CRITBETA,0.94,0.0,5e+24,3.0,7.5e+24,4.085147047225132e+25,Matched 2.38 Jy @ 228 GHz
4800,24000,MAD,RBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,5.546515025508408e+25,Matched 2.41 Jy @ 228 GHz
5200,26000,MAD,CRITBETA,0.94,0.0,5e+24,3.0,7.5e+24,4.890268377607038e+25,Matched 2.38 Jy @ 228 GHz
5000,25000,MAD,CRITBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,3.940784568151648e+25,Matched 2.42 Jy @ 228 GHz
5000,25000,MAD,RBETA,0.94,0.0,5e+24,3.0,7.5e+24,4.234797946663603e+25,Matched 2.38 Jy @ 228 GHz
5200,26000,MAD,RBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,6.521277690569552e+25,Matched 2.38 Jy @ 228 GHz
4000,20000,MAD,CRITBETA,0.94,0.0,5e+24,3.0,7.5e+24,2.749993961236903e+23,Matched 0.00 Jy @ 228 GHz
5200,26000,MAD,CRITBETAwJET,0.94,0.0,5e+24,3.0,7.5e+24,5.255120681168711e+25,Matched 2.36 Jy @ 228 GHz
