job_id,dump_index,timestep,state,model,spin,Rhigh,f,beta_crit,pos,Munit,notes
0,4000,20000,SANE,RBETA,-0.5,40,0.5,,0,1.83e27,
1,4000,20000,SANE,RBETA,-0.5,40,0.5,,1,1.83e27,
2,4000,20000,SANE,RBETA,-0.5,80,0.5,,0,1.83e27,
3,4000,20000,SANE,RBETA,-0.5,80,0.5,,1,1.83e27,
4,4000,20000,SANE,RBETA,-0.5,160,0.5,,0,1.83e27,
5,4000,20000,SANE,RBETA,-0.5,160,0.5,,1,1.83e27,
6,4000,20000,SANE,RBETA,0.94,40,0.5,,0,1.83e27,
7,4000,20000,SANE,RBETA,0.94,40,0.5,,1,1.83e27,
8,4000,20000,SANE,RBETA,0.94,80,0.5,,0,1.83e27,
9,4000,20000,SANE,RBETA,0.94,80,0.5,,1,1.83e27,
10,4000,20000,SANE,RBETA,0.94,160,0.5,,0,1.83e27,
11,4000,20000,SANE,RBETA,0.94,160,0.5,,1,1.83e27,
12,4000,20000,SANE,RBETAwJET,-0.5,40,0.5,,0,1.83e27,
13,4000,20000,SANE,RBETAwJET,-0.5,40,0.5,,1,1.83e27,
14,4000,20000,SANE,RBETAwJET,-0.5,80,0.5,,0,1.83e27,
15,4000,20000,SANE,RBETAwJET,-0.5,80,0.5,,1,1.83e27,
16,4000,20000,SANE,RBETAwJET,-0.5,160,0.5,,0,1.83e27,
17,4000,20000,SANE,RBETAwJET,-0.5,160,0.5,,1,1.83e27,
18,4000,20000,SANE,RBETAwJET,0.94,40,0.5,,0,1.83e27,
19,4000,20000,SANE,RBETAwJET,0.94,40,0.5,,1,1.83e27,
20,4000,20000,SANE,RBETAwJET,0.94,80,0.5,,0,1.83e27,
21,4000,20000,SANE,RBETAwJET,0.94,80,0.5,,1,1.83e27,
22,4000,20000,SANE,RBETAwJET,0.94,160,0.5,,0,1.83e27,
23,4000,20000,SANE,RBETAwJET,0.94,160,0.5,,1,1.83e27,
24,4000,20000,SANE,CRITBETA,-0.5,,0.5,0.1,0,1.83e27,
25,4000,20000,SANE,CRITBETA,-0.5,,0.5,0.1,1,1.83e27,
26,4000,20000,SANE,CRITBETA,-0.5,,0.5,0.1,0,1.83e27,
27,4000,20000,SANE,CRITBETA,-0.5,,0.5,0.1,1,1.83e27,
28,4000,20000,SANE,CRITBETA,-0.5,,0.5,0.1,0,1.83e27,
29,4000,20000,SANE,CRITBETA,-0.5,,0.5,0.1,1,1.83e27,
30,4000,20000,SANE,CRITBETA,0.94,,0.5,0.1,0,1.83e27,
31,4000,20000,SANE,CRITBETA,0.94,,0.5,0.1,1,1.83e27,
32,4000,20000,SANE,CRITBETA,0.94,,0.5,0.1,0,1.83e27,
33,4000,20000,SANE,CRITBETA,0.94,,0.5,0.1,1,1.83e27,
34,4000,20000,SANE,CRITBETA,0.94,,0.5,0.1,0,1.83e27,
35,4000,20000,SANE,CRITBETA,0.94,,0.5,0.1,1,1.83e27,
36,4000,20000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,0,1.83e27,
37,4000,20000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,1,1.83e27,
38,4000,20000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,0,1.83e27,
39,4000,20000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,1,1.83e27,
40,4000,20000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,0,1.83e27,
41,4000,20000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,1,1.83e27,
42,4000,20000,SANE,CRITBETAwJET,0.94,,0.5,0.1,0,1.83e27,
43,4000,20000,SANE,CRITBETAwJET,0.94,,0.5,0.1,1,1.83e27,
44,4000,20000,SANE,CRITBETAwJET,0.94,,0.5,0.1,0,1.83e27,
45,4000,20000,SANE,CRITBETAwJET,0.94,,0.5,0.1,1,1.83e27,
46,4000,20000,SANE,CRITBETAwJET,0.94,,0.5,0.1,0,1.83e27,
47,4000,20000,SANE,CRITBETAwJET,0.94,,0.5,0.1,1,1.83e27,
48,4000,20000,MAD,RBETA,-0.5,40,0.5,,0,7.49e24,
49,4000,20000,MAD,RBETA,-0.5,40,0.5,,1,7.49e24,
50,4000,20000,MAD,RBETA,-0.5,80,0.5,,0,7.49e24,
51,4000,20000,MAD,RBETA,-0.5,80,0.5,,1,7.49e24,
52,4000,20000,MAD,RBETA,-0.5,160,0.5,,0,7.49e24,
53,4000,20000,MAD,RBETA,-0.5,160,0.5,,1,7.49e24,
54,4000,20000,MAD,RBETA,0.94,40,0.5,,0,7.49e24,
55,4000,20000,MAD,RBETA,0.94,40,0.5,,1,7.49e24,
56,4000,20000,MAD,RBETA,0.94,80,0.5,,0,7.49e24,
57,4000,20000,MAD,RBETA,0.94,80,0.5,,1,7.49e24,
58,4000,20000,MAD,RBETA,0.94,160,0.5,,0,7.49e24,
59,4000,20000,MAD,RBETA,0.94,160,0.5,,1,7.49e24,
60,4000,20000,MAD,RBETAwJET,-0.5,40,0.5,,0,7.49e24,
61,4000,20000,MAD,RBETAwJET,-0.5,40,0.5,,1,7.49e24,
62,4000,20000,MAD,RBETAwJET,-0.5,80,0.5,,0,7.49e24,
63,4000,20000,MAD,RBETAwJET,-0.5,80,0.5,,1,7.49e24,
64,4000,20000,MAD,RBETAwJET,-0.5,160,0.5,,0,7.49e24,
65,4000,20000,MAD,RBETAwJET,-0.5,160,0.5,,1,7.49e24,
66,4000,20000,MAD,RBETAwJET,0.94,40,0.5,,0,7.49e24,
67,4000,20000,MAD,RBETAwJET,0.94,40,0.5,,1,7.49e24,
68,4000,20000,MAD,RBETAwJET,0.94,80,0.5,,0,7.49e24,
69,4000,20000,MAD,RBETAwJET,0.94,80,0.5,,1,7.49e24,
70,4000,20000,MAD,RBETAwJET,0.94,160,0.5,,0,7.49e24,
71,4000,20000,MAD,RBETAwJET,0.94,160,0.5,,1,7.49e24,
72,4000,20000,MAD,CRITBETA,-0.5,,0.5,0.1,0,7.49e24,
73,4000,20000,MAD,CRITBETA,-0.5,,0.5,0.1,1,7.49e24,
74,4000,20000,MAD,CRITBETA,-0.5,,0.5,0.1,0,7.49e24,
75,4000,20000,MAD,CRITBETA,-0.5,,0.5,0.1,1,7.49e24,
76,4000,20000,MAD,CRITBETA,-0.5,,0.5,0.1,0,7.49e24,
77,4000,20000,MAD,CRITBETA,-0.5,,0.5,0.1,1,7.49e24,
78,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
79,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
80,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
81,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
82,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
83,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
84,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
85,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
86,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
87,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
88,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
89,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
90,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
91,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
92,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
93,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
94,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
