job_id,dump_index,timestep,state,model,spin,Rhigh,f,beta_crit,pos,Munit,notes
0,4000,20000,SANE,CRITBETA,-0.5,,0.5,0.1,0,1.83e27,
1,4000,20000,SANE,CRITBETA,-0.5,,0.5,0.01,0,1.83e27,
2,4000,20000,SANE,CRITBETA,-0.5,,0.5,0.1,1,1.83e27,
3,4000,20000,SANE,CRITBETA,-0.5,,0.5,0.01,1,1.83e27,
4,4000,20000,SANE,CRITBETA,0.94,,0.5,0.1,0,1.83e27,
5,4000,20000,SANE,CRITBETA,0.94,,0.5,0.01,0,1.83e27,
6,4000,20000,SANE,CRITBETA,0.94,,0.5,0.1,1,1.83e27,
7,4000,20000,SANE,CRITBETA,0.94,,0.5,0.01,1,1.83e27,
8,4000,20000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,0,1.83e27,
9,4000,20000,SANE,CRITBETAwJET,-0.5,,0.5,0.01,0,1.83e27,
10,4000,20000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,1,1.83e27,
11,4000,20000,SANE,CRITBETAwJET,-0.5,,0.5,0.01,1,1.83e27,
12,4000,20000,SANE,CRITBETAwJET,0.94,,0.5,0.1,0,1.83e27,
13,4000,20000,SANE,CRITBETAwJET,0.94,,0.5,0.01,0,1.83e27,
14,4000,20000,SANE,CRITBETAwJET,0.94,,0.5,0.1,1,1.83e27,
15,4000,20000,SANE,CRITBETAwJET,0.94,,0.5,0.01,1,1.83e27,
16,4000,20000,MAD,CRITBETA,-0.5,,0.5,0.1,0,7.49e24,
17,4000,20000,MAD,CRITBETA,-0.5,,0.5,0.01,0,7.49e24,
18,4000,20000,MAD,CRITBETA,-0.5,,0.5,0.1,1,7.49e24,
19,4000,20000,MAD,CRITBETA,-0.5,,0.5,0.01,1,7.49e24,
20,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
21,4000,20000,MAD,CRITBETA,0.94,,0.5,0.01,0,7.49e24,
22,4000,20000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
23,4000,20000,MAD,CRITBETA,0.94,,0.5,0.01,1,7.49e24,
24,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
25,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.01,0,7.49e24,
26,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
27,4000,20000,MAD,CRITBETAwJET,-0.5,,0.5,0.01,1,7.49e24,
28,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
29,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.01,0,7.49e24,
30,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
31,4000,20000,MAD,CRITBETAwJET,0.94,,0.5,0.01,1,7.49e24,
32,5000,25000,SANE,CRITBETA,-0.5,,0.5,0.1,0,1.83e27,
33,5000,25000,SANE,CRITBETA,-0.5,,0.5,0.01,0,1.83e27,
34,5000,25000,SANE,CRITBETA,-0.5,,0.5,0.1,1,1.83e27,
35,5000,25000,SANE,CRITBETA,-0.5,,0.5,0.01,1,1.83e27,
36,5000,25000,SANE,CRITBETA,0.94,,0.5,0.1,0,1.83e27,
37,5000,25000,SANE,CRITBETA,0.94,,0.5,0.01,0,1.83e27,
38,5000,25000,SANE,CRITBETA,0.94,,0.5,0.1,1,1.83e27,
39,5000,25000,SANE,CRITBETA,0.94,,0.5,0.01,1,1.83e27,
40,5000,25000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,0,1.83e27,
41,5000,25000,SANE,CRITBETAwJET,-0.5,,0.5,0.01,0,1.83e27,
42,5000,25000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,1,1.83e27,
43,5000,25000,SANE,CRITBETAwJET,-0.5,,0.5,0.01,1,1.83e27,
44,5000,25000,SANE,CRITBETAwJET,0.94,,0.5,0.1,0,1.83e27,
45,5000,25000,SANE,CRITBETAwJET,0.94,,0.5,0.01,0,1.83e27,
46,5000,25000,SANE,CRITBETAwJET,0.94,,0.5,0.1,1,1.83e27,
47,5000,25000,SANE,CRITBETAwJET,0.94,,0.5,0.01,1,1.83e27,
48,5000,25000,MAD,CRITBETA,-0.5,,0.5,0.1,0,7.49e24,
49,5000,25000,MAD,CRITBETA,-0.5,,0.5,0.01,0,7.49e24,
50,5000,25000,MAD,CRITBETA,-0.5,,0.5,0.1,1,7.49e24,
51,5000,25000,MAD,CRITBETA,-0.5,,0.5,0.01,1,7.49e24,
52,5000,25000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
53,5000,25000,MAD,CRITBETA,0.94,,0.5,0.01,0,7.49e24,
54,5000,25000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
55,5000,25000,MAD,CRITBETA,0.94,,0.5,0.01,1,7.49e24,
56,5000,25000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
57,5000,25000,MAD,CRITBETAwJET,-0.5,,0.5,0.01,0,7.49e24,
58,5000,25000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
59,5000,25000,MAD,CRITBETAwJET,-0.5,,0.5,0.01,1,7.49e24,
60,5000,25000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
61,5000,25000,MAD,CRITBETAwJET,0.94,,0.5,0.01,0,7.49e24,
62,5000,25000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
63,5000,25000,MAD,CRITBETAwJET,0.94,,0.5,0.01,1,7.49e24,
64,6000,30000,SANE,CRITBETA,-0.5,,0.5,0.1,0,1.83e27,
65,6000,30000,SANE,CRITBETA,-0.5,,0.5,0.01,0,1.83e27,
66,6000,30000,SANE,CRITBETA,-0.5,,0.5,0.1,1,1.83e27,
67,6000,30000,SANE,CRITBETA,-0.5,,0.5,0.01,1,1.83e27,
68,6000,30000,SANE,CRITBETA,0.94,,0.5,0.1,0,1.83e27,
69,6000,30000,SANE,CRITBETA,0.94,,0.5,0.01,0,1.83e27,
70,6000,30000,SANE,CRITBETA,0.94,,0.5,0.1,1,1.83e27,
71,6000,30000,SANE,CRITBETA,0.94,,0.5,0.01,1,1.83e27,
72,6000,30000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,0,1.83e27,
73,6000,30000,SANE,CRITBETAwJET,-0.5,,0.5,0.01,0,1.83e27,
74,6000,30000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,1,1.83e27,
75,6000,30000,SANE,CRITBETAwJET,-0.5,,0.5,0.01,1,1.83e27,
76,6000,30000,SANE,CRITBETAwJET,0.94,,0.5,0.1,0,1.83e27,
77,6000,30000,SANE,CRITBETAwJET,0.94,,0.5,0.01,0,1.83e27,
78,6000,30000,SANE,CRITBETAwJET,0.94,,0.5,0.1,1,1.83e27,
79,6000,30000,SANE,CRITBETAwJET,0.94,,0.5,0.01,1,1.83e27,
80,6000,30000,MAD,CRITBETA,-0.5,,0.5,0.1,0,7.49e24,
81,6000,30000,MAD,CRITBETA,-0.5,,0.5,0.01,0,7.49e24,
82,6000,30000,MAD,CRITBETA,-0.5,,0.5,0.1,1,7.49e24,
83,6000,30000,MAD,CRITBETA,-0.5,,0.5,0.01,1,7.49e24,
84,6000,30000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
85,6000,30000,MAD,CRITBETA,0.94,,0.5,0.01,0,7.49e24,
86,6000,30000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
87,6000,30000,MAD,CRITBETA,0.94,,0.5,0.01,1,7.49e24,
88,6000,30000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
89,6000,30000,MAD,CRITBETAwJET,-0.5,,0.5,0.01,0,7.49e24,
90,6000,30000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
91,6000,30000,MAD,CRITBETAwJET,-0.5,,0.5,0.01,1,7.49e24,
92,6000,30000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
93,6000,30000,MAD,CRITBETAwJET,0.94,,0.5,0.01,0,7.49e24,
94,6000,30000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
95,6000,30000,MAD,CRITBETAwJET,0.94,,0.5,0.01,1,7.49e24,
