row_id,dump_index,timestep,state,model,run_tag,spin,Rhigh,Rhigh_used,Rlow_used,f_used,beta_crit_used,Munit,MunitOffset,MunitSlope,MunitUsed_pos0,MunitUsed_pos1,converged,notes
21,4000,20000,MAD,CRITBETA,Ma+0.94_4000_CRITBETA_f0.5_bc0.01,0.94,,,,0.5,0.01,7.49e+24,3.414465112635015e+24,1.531143504948278,1.4882729964697617e+25,7.237220063322547e+24,True,
23,4000,20000,MAD,CRITBETA,Ma+0.94_4000_CRITBETA_f0.5_bc0.01,0.94,,,,0.5,0.01,7.49e+24,3.414465112635015e+24,1.531143504948278,1.4882729964697617e+25,7.237220063322547e+24,True,
22,4000,20000,MAD,CRITBETA,Ma+0.94_4000_CRITBETA_f0.5_bc0.1,0.94,,,,0.5,0.1,7.49e+24,3.414465112635015e+24,1.531143504948278,1.4882729964697617e+25,7.237220063322547e+24,True,
20,4000,20000,MAD,CRITBETA,Ma+0.94_4000_CRITBETA_f0.5_bc0.1,0.94,,,,0.5,0.1,7.49e+24,3.414465112635015e+24,1.531143504948278,1.4882729964697617e+25,7.237220063322547e+24,True,
37,5000,25000,SANE,CRITBETA,Sa+0.94_5000_CRITBETA_f0.5_bc0.01,0.94,,,,0.5,0.01,1.83e+27,7.54335561803155e+26,1.2049084471088174,2.959318020012291e+27,1.4893297145395334e+27,True,
39,5000,25000,SANE,CRITBETA,Sa+0.94_5000_CRITBETA_f0.5_bc0.01,0.94,,,,0.5,0.01,1.83e+27,7.54335561803155e+26,1.2049084471088174,2.959318020012291e+27,1.4893297145395334e+27,True,
36,5000,25000,SANE,CRITBETA,Sa+0.94_5000_CRITBETA_f0.5_bc0.1,0.94,,,,0.5,0.1,1.83e+27,7.54335561803155e+26,1.2049084471088174,2.959318020012291e+27,1.4893297145395334e+27,True,
38,5000,25000,SANE,CRITBETA,Sa+0.94_5000_CRITBETA_f0.5_bc0.1,0.94,,,,0.5,0.1,1.83e+27,7.54335561803155e+26,1.2049084471088174,2.959318020012291e+27,1.4893297145395334e+27,True,
29,4000,20000,MAD,CRITBETAWJET,Ma+0.94_4000_CRITBETAWJET_f0.5_bc0.01,0.94,,,,0.5,0.01,7.49e+24,1.2008779551104237e+25,3.592844071424356,3.8919181646072666e+25,2.097891358276038e+25,True,
31,4000,20000,MAD,CRITBETAWJET,Ma+0.94_4000_CRITBETAWJET_f0.5_bc0.01,0.94,,,,0.5,0.01,7.49e+24,1.2008779551104237e+25,3.592844071424356,3.8919181646072666e+25,2.097891358276038e+25,True,
19,4000,20000,MAD,CRITBETA,Ma-0.5_4000_CRITBETA_f0.5_bc0.01,-0.5,,,,0.5,0.01,7.49e+24,7.441989678418029e+24,3.85775093918822,3.6336544212937798e+25,1.7073507856591283e+25,True,
17,4000,20000,MAD,CRITBETA,Ma-0.5_4000_CRITBETA_f0.5_bc0.01,-0.5,,,,0.5,0.01,7.49e+24,7.441989678418029e+24,3.85775093918822,3.6336544212937798e+25,1.7073507856591283e+25,True,
7,4000,20000,SANE,CRITBETA,Sa+0.94_4000_CRITBETA_f0.5_bc0.01,0.94,,,,0.5,0.01,1.83e+27,9.927614299350504e+26,1.5857486952268578,3.8946815422002004e+27,1.9600681340234337e+27,True,
5,4000,20000,SANE,CRITBETA,Sa+0.94_4000_CRITBETA_f0.5_bc0.01,0.94,,,,0.5,0.01,1.83e+27,9.927614299350504e+26,1.5857486952268578,3.8946815422002004e+27,1.9600681340234337e+27,True,
12,4000,20000,SANE,CRITBETAWJET,Sa+0.94_4000_CRITBETAWJET_f0.5_bc0.1,0.94,,,,0.5,0.1,1.83e+27,2.3878547691340784e+27,2.9240051558904336,7.738784204413573e+27,4.171497914227243e+27,True,
