row_id,dump_index,timestep,state,model,spin,Rhigh,Munit,MunitOffset,MunitSlope,MunitUsed_pos0,MunitUsed_pos1,converged,notes
0,4000,20000,MAD,CRITBETA,-0.5,20,7.49e+24,1e+25,2.5,2.8725000000000004e+25,1.6241666666666668e+25,True,
1,4000,20000,MAD,CRITBETA,0.94,20,7.49e+24,3e+24,1.2,1.1988e+25,5.996e+24,True,
2,4000,20000,MAD,CRITBETAwJET,-0.5,20,7.49e+24,8.5e+24,2.1,2.4229e+25,1.3743e+25,True,
3,4000,20000,MAD,CRITBETAwJET,0.94,20,7.49e+24,2.1999999999999997e+24,1.1,1.0439e+25,4.946333333333332e+24,True,
4,4000,20000,MAD,RBETA,-0.5,20,7.49e+24,1.3e+25,2.8,3.3972e+25,1.999066666666666e+25,True,
5,4000,20000,MAD,RBETA,0.94,20,7.49e+24,4.4999999999999997e+24,1.2,1.3488e+25,7.496e+24,True,
6,4000,20000,MAD,RBETAwJET,-0.5,20,7.49e+24,8e+24,2.9,2.9721e+25,1.5240333333333331e+25,True,
7,4000,20000,MAD,RBETAwJET,0.94,20,7.49e+24,2.4999999999999997e+24,1.2,1.1488e+25,5.496e+24,True,
8,4000,20000,SANE,CRITBETA,-0.5,20,1.83e+27,2.9e+28,22.0,6.926000000000002e+28,4.242e+28,True,
9,4000,20000,SANE,CRITBETA,0.94,20,1.83e+27,1.5000000000000002e+27,1.1,3.513e+27,2.171e+27,True,
10,4000,20000,SANE,CRITBETAwJET,-0.5,20,1.83e+27,1.7e+28,21.0,5.543e+28,2.981e+28,True,
11,4000,20000,SANE,CRITBETAwJET,0.94,20,1.83e+27,1.5000000000000002e+27,1.1,3.513e+27,2.171e+27,True,
12,4000,20000,SANE,RBETA,-0.5,20,1.83e+27,5e+28,28.0,1.0124000000000001e+29,6.708000000000001e+28,True,
13,4000,20000,SANE,RBETA,0.94,20,1.83e+27,1.5000000000000002e+27,0.72,2.8176e+27,1.9391999999999998e+27,True,
14,4000,20000,SANE,RBETAwJET,-0.5,20,1.83e+27,1.9e+28,30.0,7.389999999999999e+28,3.73e+28,True,
15,4000,20000,SANE,RBETAwJET,0.94,20,1.83e+27,1.5000000000000002e+27,0.72,2.8176e+27,1.9391999999999998e+27,True,
16,5000,25000,MAD,CRITBETA,-0.5,20,7.49e+24,1.5e+25,3.5,4.1215e+25,2.373833333333333e+25,True,
17,5000,25000,MAD,CRITBETA,0.94,20,7.49e+24,4.999999999999999e+24,1.5,1.6234999999999996e+25,8.745e+24,True,
