Timestep,MAD/SANE,Model,Spin,Rhigh
4000,MAD,CRITBETA,+0.94,20
4000,MAD,CRITBETAwJET,+0.94,20
4000,MAD,RBETA,+0.94,20
4000,MAD,RBETAwJET,+0.94,20
4200,MAD,CRITBETA,+0.94,20
4200,MAD,CRITBETAwJET,+0.94,20
4200,MAD,RBETA,+0.94,20
4200,MAD,RBETAwJET,+0.94,20
4400,MAD,CRITBETA,+0.94,20
4400,MAD,CRITBETAwJET,+0.94,20
4400,MAD,RBETA,+0.94,20
4400,MAD,RBETAwJET,+0.94,20
4600,MAD,CRITBETA,+0.94,20
4600,MAD,CRITBETAwJET,+0.94,20
4600,MAD,RBETA,+0.94,20
4600,MAD,RBETAwJET,+0.94,20
4800,MAD,CRITBETA,+0.94,20
4800,MAD,CRITBETAwJET,+0.94,20
4800,MAD,RBETA,+0.94,20
4800,MAD,RBETAwJET,+0.94,20
5000,MAD,CRITBETA,+0.94,20
5000,MAD,CRITBETAwJET,+0.94,20
5000,MAD,RBETA,+0.94,20
5000,MAD,RBETAwJET,+0.94,20
5200,MAD,CRITBETA,+0.94,20
5200,MAD,CRITBETAwJET,+0.94,20
5200,MAD,RBETA,+0.94,20
5200,MAD,RBETAwJET,+0.94,20
5400,MAD,CRITBETA,+0.94,20
5400,MAD,CRITBETAwJET,+0.94,20
5400,MAD,RBETA,+0.94,20
5400,MAD,RBETAwJET,+0.94,20
5600,MAD,CRITBETA,+0.94,20
5600,MAD,CRITBETAwJET,+0.94,20
5600,MAD,RBETA,+0.94,20
5600,MAD,RBETAwJET,+0.94,20
5800,MAD,CRITBETA,+0.94,20
5800,MAD,CRITBETAwJET,+0.94,20
5800,MAD,RBETA,+0.94,20
5800,MAD,RBETAwJET,+0.94,20
6000,MAD,CRITBETA,+0.94,20
6000,MAD,CRITBETAwJET,+0.94,20
6000,MAD,RBETA,+0.94,20
6000,MAD,RBETAwJET,+0.94,20
4000,MAD,CRITBETA,-0.5,20
4000,MAD,CRITBETAwJET,-0.5,20
4000,MAD,RBETA,-0.5,20
4000,MAD,RBETAwJET,-0.5,20
4200,MAD,CRITBETA,-0.5,20
4200,MAD,CRITBETAwJET,-0.5,20
4200,MAD,RBETA,-0.5,20
4200,MAD,RBETAwJET,-0.5,20
4400,MAD,CRITBETA,-0.5,20
4400,MAD,CRITBETAwJET,-0.5,20
4400,MAD,RBETA,-0.5,20
4400,MAD,RBETAwJET,-0.5,20
4600,MAD,CRITBETA,-0.5,20
4600,MAD,CRITBETAwJET,-0.5,20
4600,MAD,RBETA,-0.5,20
4600,MAD,RBETAwJET,-0.5,20
4800,MAD,CRITBETA,-0.5,20
4800,MAD,CRITBETAwJET,-0.5,20
4800,MAD,RBETA,-0.5,20
4800,MAD,RBETAwJET,-0.5,20
5000,MAD,CRITBETA,-0.5,20
5000,MAD,CRITBETAwJET,-0.5,20
5000,MAD,RBETA,-0.5,20
5000,MAD,RBETAwJET,-0.5,20
5200,MAD,CRITBETA,-0.5,20
5200,MAD,CRITBETAwJET,-0.5,20
5200,MAD,RBETA,-0.5,20
5200,MAD,RBETAwJET,-0.5,20
5400,MAD,CRITBETA,-0.5,20
5400,MAD,CRITBETAwJET,-0.5,20
5400,MAD,RBETA,-0.5,20
5400,MAD,RBETAwJET,-0.5,20
5600,MAD,CRITBETA,-0.5,20
5600,MAD,CRITBETAwJET,-0.5,20
5600,MAD,RBETA,-0.5,20
5600,MAD,RBETAwJET,-0.5,20
5800,MAD,CRITBETA,-0.5,20
5800,MAD,CRITBETAwJET,-0.5,20
5800,MAD,RBETA,-0.5,20
5800,MAD,RBETAwJET,-0.5,20
6000,MAD,CRITBETA,-0.5,20
6000,MAD,CRITBETAwJET,-0.5,20
