path,filename,ext,size_bytes,width,height,mode,format,dpi
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_4000_model_CRITBETA_Rhigh_0_0.000.png,output_Ma+0.94_4000_model_CRITBETA_Rhigh_0_0.000.png,png,115026,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_4000_model_CRITBETA_Rhigh_0_1.000.png,output_Ma+0.94_4000_model_CRITBETA_Rhigh_0_1.000.png,png,99169,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_4000_model_RBETA_Rhigh_40_0.000.png,output_Ma+0.94_4000_model_RBETA_Rhigh_40_0.000.png,png,114113,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_4000_model_RBETA_Rhigh_40_1.000.png,output_Ma+0.94_4000_model_RBETA_Rhigh_40_1.000.png,png,104093,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_CRITBETA_Rhigh_0_0.000.png,output_Ma+0.94_5000_model_CRITBETA_Rhigh_0_0.000.png,png,116998,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_CRITBETA_Rhigh_0_1.000.png,output_Ma+0.94_5000_model_CRITBETA_Rhigh_0_1.000.png,png,101568,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_CRITBETAwJET_Rhigh_0_0.000.png,output_Ma+0.94_5000_model_CRITBETAwJET_Rhigh_0_0.000.png,png,136273,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_CRITBETAwJET_Rhigh_0_1.000.png,output_Ma+0.94_5000_model_CRITBETAwJET_Rhigh_0_1.000.png,png,121036,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETA_Rhigh_10_0.000.png,output_Ma+0.94_5000_model_RBETA_Rhigh_10_0.000.png,png,112277,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETA_Rhigh_10_1.000.png,output_Ma+0.94_5000_model_RBETA_Rhigh_10_1.000.png,png,99820,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETA_Rhigh_160_0.000.png,output_Ma+0.94_5000_model_RBETA_Rhigh_160_0.000.png,png,126878,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETA_Rhigh_160_1.000.png,output_Ma+0.94_5000_model_RBETA_Rhigh_160_1.000.png,png,110401,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETA_Rhigh_1_0.000.png,output_Ma+0.94_5000_model_RBETA_Rhigh_1_0.000.png,png,108758,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETA_Rhigh_1_1.000.png,output_Ma+0.94_5000_model_RBETA_Rhigh_1_1.000.png,png,95957,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETA_Rhigh_20_0.000.png,output_Ma+0.94_5000_model_RBETA_Rhigh_20_0.000.png,png,111993,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETA_Rhigh_20_1.000.png,output_Ma+0.94_5000_model_RBETA_Rhigh_20_1.000.png,png,99706,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETA_Rhigh_40_0.000.png,output_Ma+0.94_5000_model_RBETA_Rhigh_40_0.000.png,png,115440,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETA_Rhigh_40_1.000.png,output_Ma+0.94_5000_model_RBETA_Rhigh_40_1.000.png,png,104790,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETA_Rhigh_80_0.000.png,output_Ma+0.94_5000_model_RBETA_Rhigh_80_0.000.png,png,119304,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETA_Rhigh_80_1.000.png,output_Ma+0.94_5000_model_RBETA_Rhigh_80_1.000.png,png,104714,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETAwJET_Rhigh_160_0.000.png,output_Ma+0.94_5000_model_RBETAwJET_Rhigh_160_0.000.png,png,171228,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETAwJET_Rhigh_160_1.000.png,output_Ma+0.94_5000_model_RBETAwJET_Rhigh_160_1.000.png,png,159066,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETAwJET_Rhigh_1_0.000.png,output_Ma+0.94_5000_model_RBETAwJET_Rhigh_1_0.000.png,png,112646,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5000_model_RBETAwJET_Rhigh_1_1.000.png,output_Ma+0.94_5000_model_RBETAwJET_Rhigh_1_1.000.png,png,99207,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5200_model_CRITBETA_Rhigh_0_0.000.png,output_Ma+0.94_5200_model_CRITBETA_Rhigh_0_0.000.png,png,109236,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_5200_model_CRITBETA_Rhigh_0_1.000.png,output_Ma+0.94_5200_model_CRITBETA_Rhigh_0_1.000.png,png,95550,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_6000_model_CRITBETA_Rhigh_0_0.000.png,output_Ma+0.94_6000_model_CRITBETA_Rhigh_0_0.000.png,png,114516,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_6000_model_CRITBETA_Rhigh_0_1.000.png,output_Ma+0.94_6000_model_CRITBETA_Rhigh_0_1.000.png,png,97910,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_6000_model_RBETA_Rhigh_40_0.000.png,output_Ma+0.94_6000_model_RBETA_Rhigh_40_0.000.png,png,114406,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma+0.94_6000_model_RBETA_Rhigh_40_1.000.png,output_Ma+0.94_6000_model_RBETA_Rhigh_40_1.000.png,png,104028,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_4000_model_CRITBETA_Rhigh_0_0.000.png,output_Ma-0.5_4000_model_CRITBETA_Rhigh_0_0.000.png,png,108356,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_4000_model_CRITBETA_Rhigh_0_1.000.png,output_Ma-0.5_4000_model_CRITBETA_Rhigh_0_1.000.png,png,91303,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_4000_model_RBETA_Rhigh_40_0.000.png,output_Ma-0.5_4000_model_RBETA_Rhigh_40_0.000.png,png,107015,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_4000_model_RBETA_Rhigh_40_1.000.png,output_Ma-0.5_4000_model_RBETA_Rhigh_40_1.000.png,png,96987,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_CRITBETA_Rhigh_0_0.000.png,output_Ma-0.5_5000_model_CRITBETA_Rhigh_0_0.000.png,png,103063,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_CRITBETA_Rhigh_0_1.000.png,output_Ma-0.5_5000_model_CRITBETA_Rhigh_0_1.000.png,png,87852,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_CRITBETAwJET_Rhigh_0_0.000.png,output_Ma-0.5_5000_model_CRITBETAwJET_Rhigh_0_0.000.png,png,119612,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_CRITBETAwJET_Rhigh_0_1.000.png,output_Ma-0.5_5000_model_CRITBETAwJET_Rhigh_0_1.000.png,png,100447,800,400,RGBA,PNG,"100.00,100.00"
